Title;Price;Area;Rooms;Price per m2;Floor;City_or_District;Province
Klimatyczne mieszkanie w kamienicy blisko Konesera;630000;31.0;1;20323;3;Warszawa;mazowieckie
MAŚLICKA-NOWE-3 pokoje-dwustronne-2 balkony;635000;68.69;3;9244;1;Wrocław;dolnośląskie
3 pokojowe mieszkanie z 2 balkonami,  Zakrzów;735000;63.02;3;11663;5;Wrocław;dolnośląskie
Magnes na zyski;490000;30.0;1;16333;1;Wrocław;dolnośląskie
Mieszkanie W Starej Oliwie;2250000;143.0;5;15734;2;Gdańsk;pomorskie
Studio z oddzielną sypialnią, świetna lokalizacja!;528000;28.33;2;18637;2;Wrocław;dolnośląskie
Dwupokojowe mieszkanie Warszawa Mokotów;615000;36.0;2;17083;0;Warszawa;mazowieckie
2pokoje kuchnia balkon 47m2 + 9m2 piwnica GDAŃSK;649000;47.35;2;13706;2;Gdańsk;pomorskie
2 pokoje_parter_rozkładowe_parking_os. Sobieskiego;367290;47.7;2;7700;0;oławski;dolnośląskie
Dzikiej Gęsi 6 | mieszkanie 1-pok. | 19;245784;25.08;1;9800;2;bydgoski;kujawsko-pomorskie
** 2 Pokoje ** blisko Centrum ** Cegła 2002r. *;369000;44.2;2;8348;4;Białystok;podlaskie
Ostatnie 72 m2 Gotowe Mieszkanie Komórka w cenie;631000;71.88;4;8779;0;Rzeszów;podkarpackie
M-4 w bloku na II piętrze z widokiem na górki.;395000;63.4;3;6230;2;Bydgoszcz;kujawsko-pomorskie
*Oddane do użytkowania *Rolety *Klima *Podłogówka;419958;42.42;2;9900;2;Bielsko-Biała;śląskie
Nowoczesna kawalerka, Chorzow, Stary Chorzów;210000;28.0;1;7500;0;Chorzów;śląskie
Ostatnie 82 m2 Gotowe Mieszkanie Komórka w cenie;714955;81.72;4;8749;0;Rzeszów;podkarpackie
Centralna część miasta | 3 pokoje | al. Jana Pawła;309000;48.9;3;6319;3;starogardzki;pomorskie
4-pokojowe mieszkanie 75m2 + loggia;958658;75.46;4;12704;8;Katowice;śląskie
4-pokojowe mieszkanie 72m2 + balkon Bez Prowizji;867053;72.26;4;11999;1;Kraków;małopolskie
4-pokojowe mieszkanie 83m2 + 2 loggie;2349000;83.86;4;28011;4;Warszawa;mazowieckie
3-pokojowe mieszkanie 70m2 + balkon Bezpośrednio;1164735;70.59;3;16500;1;Warszawa;mazowieckie
3 pokojowe mieszkanie z 2 balkonami,  Zakrzów;735000;63.02;3;11663;5;Wrocław;dolnośląskie
Oświecenia, Układ Niezależny, Loggia;549000;58.0;3;9466;7;Poznań;wielkopolskie
Super lokalizacja, gotowe mieszkanie z balkonem;676800;30.54;1;22161;1;Wrocław;dolnośląskie
Apartament 50m2, OGROMNY TARAS+50m2, garaż, LAS;899000;50.0;3;17980;3;Kraków;małopolskie
Damrota Garden | apartament 2-pok. | 51;681000;50.86;2;13390;6;Katowice;śląskie
Bezczynszowe 3 pok 57m2 + poddasze Kostomłoty I;376200;57.0;3;6600;1;Kielce;świętokrzyskie
Sprzedam 4 Pokoje Przy Parku Szczęśliwickim;1649000;113.0;4;14593;3;Warszawa;mazowieckie
3 pokojowe mieszkanie z 2 balkonami,  Zakrzów;735000;63.02;3;11663;5;Wrocław;dolnośląskie
Magnes na zyski;490000;30.0;1;16333;1;Wrocław;dolnośląskie
Mieszkanie W Starej Oliwie;2250000;143.0;5;15734;2;Gdańsk;pomorskie
Studio z oddzielną sypialnią, świetna lokalizacja!;528000;28.33;2;18637;2;Wrocław;dolnośląskie
Dwupokojowe mieszkanie Warszawa Mokotów;615000;36.0;2;17083;0;Warszawa;mazowieckie
2pokoje kuchnia balkon 47m2 + 9m2 piwnica GDAŃSK;649000;47.35;2;13706;2;Gdańsk;pomorskie
2 pokoje_parter_rozkładowe_parking_os. Sobieskiego;367290;47.7;2;7700;0;oławski;dolnośląskie
Dzikiej Gęsi 6 | mieszkanie 1-pok. | 19;245784;25.08;1;9800;2;bydgoski;kujawsko-pomorskie
** 2 Pokoje ** blisko Centrum ** Cegła 2002r. *;369000;44.2;2;8348;4;Białystok;podlaskie
Ostatnie 72 m2 Gotowe Mieszkanie Komórka w cenie;631000;71.88;4;8779;0;Rzeszów;podkarpackie
M-4 w bloku na II piętrze z widokiem na górki.;395000;63.4;3;6230;2;Bydgoszcz;kujawsko-pomorskie
*Oddane do użytkowania *Rolety *Klima *Podłogówka;419958;42.42;2;9900;2;Bielsko-Biała;śląskie
Nowoczesna kawalerka, Chorzow, Stary Chorzów;210000;28.0;1;7500;0;Chorzów;śląskie
Ostatnie 82 m2 Gotowe Mieszkanie Komórka w cenie;714955;81.72;4;8749;0;Rzeszów;podkarpackie
Centralna część miasta | 3 pokoje | al. Jana Pawła;309000;48.9;3;6319;3;starogardzki;pomorskie
4-pokojowe mieszkanie 75m2 + loggia;958658;75.46;4;12704;8;Katowice;śląskie
4-pokojowe mieszkanie 72m2 + balkon Bez Prowizji;867053;72.26;4;11999;1;Kraków;małopolskie
4-pokojowe mieszkanie 83m2 + 2 loggie;2349000;83.86;4;28011;4;Warszawa;mazowieckie
Damrota Garden | apartament 2-pok. | 51;681000;50.86;2;13390;6;Katowice;śląskie
Mieszkanie Kruszwica Spokojne Osiedle;269000;51.0;2;5275;3;inowrocławski;kujawsko-pomorskie
Krzyki/3 pokoje/balkon/komórka/garaż;1230000;96.0;3;12813;0;Wrocław;dolnośląskie
2-pokojowe mieszkanie 49m2 + loggia Bezpośrednio;1240000;49.58;2;25010;1;Warszawa;mazowieckie
3-pokojowe mieszkanie 70m2 + balkon Bezpośrednio;1164735;70.59;3;16500;1;Warszawa;mazowieckie
4-pokojowe mieszkanie 88m2 + balkon Bezpośrednio;606306;88.81;4;6827;1;średzki;dolnośląskie
4-pokojowe mieszkanie 81m2 + ogródek Bezpośrednio;675996;81.0;4;8346;0;Łódź;łódzkie
3-pokojowe mieszkanie 76m2 + taras Bez Prowizji;1399000;76.96;3;18178;2;Kraków;małopolskie
3-pokojowe mieszkanie 59m2 + ogródek Bez Prowizji;609000;59.31;3;10268;0;pruszkowski;mazowieckie
Sprzedam mieszkanie 2 pokoje Piaseczno;580000;42.3;2;13712;4;piaseczyński;mazowieckie
3-pokojowe z ogrodem-balkon-szeregowiec;749000;68.87;3;10876;1;poznański;wielkopolskie
Podgórzyn, atrakcyjne M-3 na parterze z tarasem;489000;56.5;3;8655;0;karkonoski;dolnośląskie
3-pokojowe mieszkanie 52m2 + balkon Bezpośrednio;495968;52.13;3;9514;2;poznański;wielkopolskie
3-pokojowe mieszkanie 54m2 + balkon;439252;54.69;3;8032;2;poznański;wielkopolskie
Swarzędz, 3 pok.-65M2, 1. PIĘTRO, bezpośrednio;545000;65.2;3;8359;1;poznański;wielkopolskie
Do życia i pod najem;729000;47.8;2;15251;3;Warszawa;mazowieckie
Mieszkanie z balkonem i ogródkiem 50m2 ,2 miejsca;726731;74.27;4;9785;1;wołomiński;mazowieckie
Prestiżowy apartament na Wilda, ogromny TARAS;1080000;87.0;3;12414;5;Poznań;wielkopolskie
2-pokojowe mieszkanie 50m2 + balkon Bez Prowizji;422470;50.49;2;8367;1;poznański;wielkopolskie
3-pokojowe mieszkanie 48m2 + ogródek Bez Prowizji;539000;48.03;3;11222;0;wołomiński;mazowieckie
Morcinka, 2-pokojowe po remoncie, parter.;330000;32.68;2;10098;0;Góra;dolnośląskie
Atrakcyjna kawalerka w Zabobrze!;238000;21.0;1;11333;1;Góra;dolnośląskie
Wybierz apartament z widokiem na panoramę Katowic;574815;51.66;3;11127;2;Katowice;śląskie
Nowoczesny Lokal mieszkalny z Ogrodem;470000;61.7;2;7618;0;poznański;wielkopolskie
Nowe, wykończone mieszkanie, 2 pokoje, bez PCC;599000;41.0;2;14610;2;Wrocław;dolnośląskie
3 pokoje po remoncie w wieżowcu przy parku;339000;46.2;3;7338;4;głogowski;dolnośląskie
2 Pokoje osiedle zatorze;235000;33.0;2;7121;3;Słupsk;pomorskie
Sprzedam kawalerkę w pobliżu jezioro, UAM;150000;28.0;1;5357;0;gnieźnieński;wielkopolskie
2 pokoje - blok cegła - Żubardź;325000;46.2;2;7035;1;Łódź;łódzkie
Nowomiejska 9 | mieszkanie 2-pok. |M7;322000;42.5;2;7576;2;będziński;śląskie
Nowa Dąbrowa | mieszkanie 3-pok. | D2.5;577846;69.62;3;8300;2;Górnicza;śląskie
Przytulne mieszkanie w szeregowcu;568355;80.05;4;7100;2;Bytom;śląskie
Na Pańskiej Górze | mieszkanie 19;420864;52.07;3;8083;1;Jaworzno;śląskie
Apartamenty Liściasta | mieszkanie 3-pok. | 6;553276;62.32;3;8878;0;Łódź;łódzkie
Chmielna Duo | mieszkanie 2-pok. | A2.95;1489204;42.92;2;34697;1;Warszawa;mazowieckie
Centrum Nowe Budownictwo 62 M2 Do Wejścia, Parking;799000;61.5;3;12992;0;Białystok;podlaskie
Centrum Nowe Budownictwo 62 M2 Do Wejścia, Parking;799000;61.54;3;12983;1;Białystok;podlaskie
3 pokoje_parter_rozkładowe_parking_centrum miasta;421190;54.7;3;7700;0;oławski;dolnośląskie
2/3 Pokoje | Balkon | Dobry Rozkład;659000;36.0;2;18306;3;Warszawa;mazowieckie
Smart City | mieszkanie nr A_M8;319808;42.08;2;7600;1;stargardzki;zachodniopomorskie
Wyjątkowe mieszkanie z antresolą - 3 pokoje;449000;58.0;3;7741;3;Katowice;śląskie
2 pokoje w nowym budownictwie - Na Zakolu Wisły;685000;39.93;2;17155;3;Kraków;małopolskie
NISKA CENA ⭐ 3 strony świata ⭐ Gotowe mieszkanie!;612000;60.16;3;10173;0;Wrocław;dolnośląskie
Mieszkanie 33 m2 Stare Podgórze, Krakusa;585000;33.0;2;17727;0;Kraków;małopolskie
tanie mieszkanie z ogrodem 90m2 blisko Wrocławia;799000;90.0;4;8878;0;wrocławski;dolnośląskie
Mieszkanie 50m2 bezczynszowe - Dubliny;100000;50.0;3;2000;1;kętrzyński;warmińsko-mazurskie
Mieszkanie na Osiedlu Baranówek ul Rajtarska;546000;42.0;2;13000;3;Kielce;świętokrzyskie
2-pokojowe mieszkanie 50m2 + balkon Bez Prowizji;422470;50.49;2;8367;1;poznański;wielkopolskie
Nowoczesne mieszkanie z widokiem na rzekę Warta !;529000;44.0;2;12023;7;Poznań;wielkopolskie
EKO mieszkanie 4 pokojowe - BEZPOŚREDNIO;711000;59.27;4;11996;1;Warszawa;mazowieckie
Kawalerka z osobną kuchnią - obok AGH i UKEN!;430000;20.0;1;21500;4;Kraków;małopolskie
Mieszkanie do wprowadzenia korzystna lokalizacja;579000;60.0;3;9650;0;Gdynia;pomorskie
